   0.0000000000000000       -8.2518436282716081       -5.2250204806158038       0.41939285748487409        5.4629285935166045E-003  -2.9601644053101495E-003  -1.6615982913527870E-004 -0.10227228888504504        5.3020703735766929E-002   4.4474315624015714E-006  -7.1592264234976444E-008
   10000.000000000000       -197309.22686260598       -122133.22363304743        9979.4095375490524       -39.491829316348714       -24.445203879348135        1.9973984081067155        1080.5810836221856       0.14377431755487236       -2.6807356334757060E-010   0.0000000000000000     
   20000.000000000000       -394768.36392237712       -244359.23713576727        19966.401096491201       -39.491826213555562       -24.445201958739752        1.9973982511752277        1080.5809159776270       0.14377447071934976       -6.7529981606639922E-011  -1.8605936236149034E-009
   30000.000000000000       -592227.49205828644       -366585.24511466571        29953.392204073683       -39.491825179809240       -24.445201318862939        1.9973981988910772        1080.5808601242277       0.14377129983761985       -3.0240698833949864E-011  -3.7304508371249767E-009
   40000.000000000000       -789686.61654163664       -488811.25083283894        39940.383126875204       -39.491824663034613       -24.445200998988113        1.9973981727539689        1080.5808322029159       0.14377348175263410       -1.6598278307355940E-011   0.0000000000000000     
   50000.000000000000       -987145.73902559036       -611037.25530982227        49927.373948671266       -39.491824353043683       -24.445200807057002        1.9973981570739141        1080.5808154528761       0.14368557514164662       -1.0913936421275139E-011   4.0454861682803767E-012
   60000.000000000000       -1184604.8602452469       -733263.25900732202        59914.364706190478       -39.491824146291130       -24.445200679166021        1.9973981466196231        1080.5808042840838       0.14357840030844465       -7.0485839387401938E-012   9.2723329014887668E-012
   70000.000000000000       -1382063.9805836119       -855489.26216564409        69901.355419221043       -39.491823998746383       -24.445200587745781        1.9973981391559785        1080.5807963100351       0.14393405587031849       -5.2295945351943374E-012   7.4528344051749684E-009
   80000.000000000000       -1579523.1002899231       -977715.26492063433        79888.346100598079       -39.491823888128934       -24.445200519130758        1.9973981335536053        1080.5807903298921       0.14393044470958541       -4.0927261579781771E-012   1.1952661083114435E-012
   90000.000000000000       -1776982.2195067981       -1099941.2673458101        89875.336756442572       -39.491823801751892       -24.445200465912748        1.9973981292033844        1080.5807856688539       0.14222442797820403       -3.6379788070917130E-012  -7.4515285330978287E-009
   100000.00000000000       -1974441.3383545422       -1222167.2696006112        99862.327393361527       -39.491823733281791       -24.445200423239793        1.9973981257156799        1080.5807819625386       0.14378289267245284       -2.5011104298755527E-012  -7.4514714398787874E-009
   110000.00000000000       -2171900.4567638598       -1344393.2715864480        109849.31801573143       -39.491823676770480       -24.445200388527851        1.9973981228631585        1080.5807789156822       0.14433567339766787       -2.2737367544323206E-012   7.4617512446639722E-009
   120000.00000000000       -2369359.5749717765       -1466619.2734790696        119836.30862374444       -39.491823630005428       -24.445200359529444        1.9973981204960687        1080.5807763878420       0.14678427294850957       -1.5916157281026244E-012  -7.4257982818348722E-009
   130000.00000000000       -2566818.6931796931       -1588845.2751738681        129823.29921952887       -39.491823590444611       -24.445200334952599        1.9973981184774594        1080.5807742482759       0.14153224760432345       -1.8189894035458565E-012  -7.4598669186354272E-009
   140000.00000000000       -2764277.8109213505       -1711071.2768686665        139810.28980935199       -39.491823554917474       -24.445200313383118        1.9973981167613175        1080.5807723381874       0.14630979784634099       -1.3642420526593924E-012   0.0000000000000000     
   150000.00000000000       -2961736.9285471905       -1833297.2783302171        149797.28039917510       -39.491823527192281       -24.445200295619550        1.9973981152815503        1080.5807708265681       0.14756600403245021       -1.1368683772161603E-012   1.4887400756613545E-008
   160000.00000000000       -3159196.0461730305       -1955523.2797339773        159784.27097765074       -39.491823500546928       -24.445200279133729        1.9973981139370969        1080.5807693865372       0.14485162870938373       -1.3642420526593924E-012  -1.4909438461607749E-008
   170000.00000000000       -3356655.1637988705       -2077749.2811377374        169771.26153109406       -39.491823476488491       -24.445200265811053        1.9973981128268739        1080.5807681243507       0.13689079285061420       -1.1368683772161603E-012   1.8930218503854235E-011
   180000.00000000000       -3554114.2811548524       -2199975.2822966599        179758.25208453738       -39.491823458724923       -24.445200252488377        1.9973981117263104        1080.5807671090222       0.13908938232485907       -6.8212102632969618E-013   1.4923761476604014E-008
   190000.00000000000       -3751573.3981986158       -2322201.2834093818        189745.24263798070       -39.491823440961355       -24.445200240982569        1.9973981108936432        1080.5807661371618       0.14120078901535291       -4.5474735088646412E-013  -1.4887207161473626E-008
   200000.00000000000       -3949032.5152423792       -2444427.2845221036        199732.23319142402       -39.491823423197786       -24.445200232100785        1.9973981100609759        1080.5807652281885       0.13314104225608844       -4.5474735088646412E-013  -3.5792951935675887E-011
   210000.00000000000       -4146491.6322861426       -2566653.2856348255        209719.22374486734       -39.491823405434218       -24.445200223219000        1.9973981092283086        1080.5807643181363       0.12424609797306661       -6.8212102632969618E-013  -5.4479282196595591E-011
   220000.00000000000       -4343950.7493299060       -2688879.2867475473        219706.21429831066       -39.491823391483877       -24.445200214337216        1.9973981086019850        1080.5807635581566       0.12477931660265504       -6.8212102632969618E-013   1.4922806129691324E-008
   230000.00000000000       -4541409.8663736694       -2811105.2878602692        229693.20485175398       -39.491823382602092       -24.445200205455432        1.9973981080468735        1080.5807629976759       0.13967061440247827       -4.5474735088646412E-013   1.4930461839091080E-008
   240000.00000000000       -4738868.9834174328       -2933331.2889729911        239680.19540519730       -39.491823373720308       -24.445200196573648        1.9973981074917619        1080.5807624364868       0.15590102979402437       -2.2737367544323206E-013   1.4934996850346494E-008
   250000.00000000000       -4936328.1004611962       -3055557.2900857129        249667.18595116722       -39.491823364838524       -24.445200192130542        1.9973981069366504        1080.5807619831778       0.15154141106293745       -4.5474735088646412E-013   0.0000000000000000     
